ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0740,genus_core,3,1,3,3,3,1,1,1,1
S0741,species_restricted_core,1,1,1,3,3,3,0,0,0
S0742,genus_core,2,1,2,2,2,1,2,2,1
S0743,genus_core,1,1,1,3,3,3,1,1,3
S0744,genus_core,1,1,1,3,3,3,1,1,3
S0745,genus_core,1,1,1,3,3,3,1,1,3
S0747,species_restricted_core,1,2,3,0,0,0,0,0,0
S0748,species_restricted_core,3,1,1,3,1,1,0,0,0
S0750,genus_core,1,1,3,1,1,1,1,1,1
S0751,genus_core,1,1,3,1,1,1,1,1,1
S0752,genus_core,1,1,3,1,1,1,1,1,3
S0753,genus_core,2,2,2,2,2,2,2,2,2
S0754,genus_core,2,2,2,2,2,2,2,2,2
S0755,genus_core,2,2,2,2,2,2,2,2,1
S0756,genus_core,2,1,2,2,2,2,1,2,1
S0757,genus_core,2,1,2,2,2,2,1,1,1
S0758,genus_core,1,1,3,3,3,3,1,1,1
S0759,species_restricted_core,2,1,2,2,1,1,0,0,0
S0760,genus_core,1,1,1,3,1,3,1,1,1
S0761,species_restricted_core,3,1,1,3,3,3,1,1,3
S0762,genus_core,1,2,1,2,2,2,2,1,2
